№ п/п;Дата платежа ;Назначение платежа;Сумма;
387;23.05.2024;"Окончательная оплата 70% за оборудование в рамках проекта ""QH Аудандык Оңалту орталықтары"" ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез-КЗ)"", Договоры поставки №РЦ-
Р/2023-3-3 от 11.01.24г.";1 540 000;
388;23.05.2024;"Окончательная оплата 70% за оборудование в рамках проекта ""QH
Аудандык оңалту орталықтары"" ТОО ""МК Интерна"", Договоры поставки №РЦ/2023-3-1 от 11.01.24г.";10 038 000;
389;23.05.2024;"Окончательная оплата 70% за оборудование в рамках проекта ""QH Аудандык оңалту орталықтары"" ТОО ""МебельBro"", Договоры
поставки №РЦ/2023-2-3 от 08.04.24г.";6 209 140;
390;23.05.2024;"Возврат средств от ТОО ""ВИВА Фарм""";-                                         7 653 794;
391;24.05.2024;"Оплата ТОО ""A.D.A.Group"" за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-97 от
21.05.2024";44 391 930;
392;24.05.2024;"Оплата ТОО ""Мирас Group"" за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-96 от
21.05.2024";180 581 212;
393;24.05.2024;"Оплата ТОО СКО Монтажник и К за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера  в СКО, Договор №11-02-6-94 от
21.05.2024";39 789 193;
394;24.05.2024;"Оплата ТОО ""Зерттеу СК"" за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера  в СКО, Договор №11-02-6-89 от
21.05.2024";69 651 133;
395;24.05.2024;"Оплата ТОО ""NQDC"" (North Qazaqstan Development Company) за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуаций природного характера в
СКО, Договор №11-02-6-98 от 21.05.2024";36 439 578;
396;24.05.2024;Оплата ТОО Основание за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуаций природного характера в СКО, Договор №11-02-6-88 от 21.05.2024;142 957 215;
397;24.05.2024;"Оплата ТОО ПетроАльянс за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-95 от
21.05.2024";63 052 670;
398;24.05.2024;"Оплата ТОО""ПетроРемСтрой"" за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-93 от
21.05.2024";60 187 292;
399;24.05.2024;"Оплата ТОО ""ASh stroy"" за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-92 от
21.05.2024";57 006 800;
400;27.05.2024;"Окончательная оплата 70% ТОО «ASPASIA LTD» за оборудование в рамках БП ""QH Аудандык оңалту орталығы"", Договор №РЦ-Р/2023-4-2 от 22.01.2024г.,№РЦ-Р/2023-10-2 от
22.01.24г.";9 519 090;
401;27.05.2024;"Оплата ТОО Строительная компания ПИЛОН за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуаций природного характера в СКО, Договор
№11-02-6-91 от 21.05.2024";119 085 579;
402;28.05.2024;"Оплата ТОО Tekhnadzor Construction Group за строительство под ключ ""модульный спортивный зал ангарного типа"", Дог. №11-02-6-
64  от 22.04.2024г., №11-02-6-65  от 22.04.2024г";2 500 000;
403;28.05.2024;"Возмещение расходов по перевозке по РК согласно Договора №09- 02-3-9 от 05.04.2023г. (КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"") в рамках
реализации проекта «QH Оңалту орталығы»";170 935;
404;28.05.2024;"Возмещение расходов по перевозке по РК согласно Договора №09- 02-3-376 от 06.11.2023г. (КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"") в рамках
реализации проекта «QH Аудандык Оңалту орталығы»";2 544 726;
405;28.05.2024;Оплата ГБУЗ МКНЦ  им. А.С. Логинова  ДЗМ - расходы, связанные с БП «QH Обучение специалистов онкологический службы КазНИИОиР», Дог.№09-02-3-214/ 147-24-ТУ от 13.05.24г.;2 135 480;
406;28.05.2024;"Оплата DURBIN PLC за лекарственное  средство - Золгенсма
(Zolgensma), Договор №09-03-32 от 29.03.2023г";731 610 000;
407;28.05.2024;"Оплата ТОО Құрылыс-Сервис-СК за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-90 от
21.05.2024";120 209 280;
408;28.05.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Рапамун
(Сиролимус), Договор №09-02-3-215 от 19.05.2024г";622 080;
409;28.05.2024;"Оплата ТОО ""СТОФАРМ"" за лекарственное  средство - Рапамун
(Сиролимус), Договор №09-02-3-213 от 10.05.2024г";1 244 160;
410;28.05.2024;"Оплата ТОО ""ИНТЕРФАРМСЕРВИС"" за лекарственное средство - Эксондис (Этеплирсен), Договор №09-02-3-218 от 15.05.24г.";400 760 464;
411;28.05.2024;"Оплата ТОО ""ИНТЕРФАРМСЕРВИС"" за лекарственное средство - Касимерсен (Амондис45),Голодирсен (Виондис 53), Договор №09-
02-3-217 от 15.05.24г.";209 092 416;
412;28.05.2024;"Предоплата 70% ТОО ""AUM+"" за оборудование в рамках проекта ""QH Обеспечение Нац.научного онкологического центра оборудованием для проведения трансплантации органов"" ,
Договор  №09-02-3-205 от 19.04.2024г.";4 250 000;
413;28.05.2024;"Оплата ТОО «ГЛОБАЛ ЭЙР» - «GLOBAL AIR» - расходы,
связанные с БП «QH Обучение специалистов онкологический службы КазНИИОиР»";1 701 816;
414;30.05.2024;"ТОО ""Управление капитального строительства СКО"" за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуаций природного характера в СКО, Договор
№11-02-6-100 от 21.05.2024";10 000 000;
415;30.05.2024;"ТОО NQDC Architecture&Design за услуги строительства в рамках оказания благотворительной помощи по строительству одноэтажных домов для граждан, пострадавших от чрезвычайных ситуаций природного характера в СКО, Договор №11-02-6-99 от
21.05.2024";7 500 000;
416;30.05.2024;"Предоплата 50% ИП ""НАДЕЖДА"" за оборудование в рамках проекта ""QH Шапагат Семей"", Договор  №09-02-3-233 от
28.05.2024г.";4 170 000;
417;30.05.2024;"Оплата ТОО ""MEDICAL CONSULTING GROUP"" за лечение пациентов  с заболеваниями органов глаза (пересадка роговицы),
Договор№09-02-3-104,105 от 19.03.2024г.";14 836 157;
418;31.05.2024;"Возмещение расходов по перевозке по РК согласно Договора №09- 02-3-376 от 06.11.2023г. (КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"") в рамках
реализации проекта «QH Аудандык Оңалту орталығы»";2 242 152;
419;31.05.2024;"Окончательная оплата 70% за оборудование в рамках проекта ""QH оңалту орталықтары"" ТОО ""МебельBro"", Договоры поставки
№РЦ/2023-10-1 от 09.04.24г.";6 209 140;
420;31.05.2024;"Возмещение расходов  за проживание специалистов КазНИИОиР в Москве- расходы, связанные с БП «QH Обучение специалистов онкологический службы КазНИИОиР», Дог.№09-02-3-214/ 147-24-
ТУ от 13.05.24г.";2 045 616;
421;31.05.2024;"Оплата ТОО DELVE CAMP за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-02-6-101 от
24.05.2024г.";19 200 000;
422;31.05.2024;"Оплата КГКП ""Восточно-Казахстанский НМЦР одаренности и доп образования "" Дарын"" за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-02-6-122 от
29.05.2024г.";40 828 000;
423;31.05.2024;"Оплата ТОО Лагерь Зере за оказание услуг по организации отдыха
сельских детей в летнем лагере, Договор №11-02-6-120 от 29.05.2024г.";84 000 000;
424;31.05.2024;"Оплата ТОО ""ДОЦ ФЛАМИНГО"" за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-
02-6-131 от 29.05.2024г.";120 000 000;
425;31.05.2024;"Оплата ТОО ""EXOS"" за оказание услуг по организации отдыха
сельских детей в летнем лагере, Договор №11-02-6-104 от 29.05.2024г.";52 500 000;
426;31.05.2024;"Оплата ТОО ""ARMAN DALA"" за оказание услуг по организации
отдыха сельских детей в летнем лагере, Договор №11-02-6-130 от 29.05.2024г.";18 000 000;
427;31.05.2024;"Оплата ТОО ""ПНМЦ ""ЖӘРДЕМ"" за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-
02-6-125 от 29.05.2024г.";57 120 000;
428;31.05.2024;"Оплата ИП Безбарьерная среда за портативный кислородный концентратор Philips Respiroics SimpleGoMini для 1-го пациента,
Договор №09-02-3-236 от 30.05.24г.";3 300 000;
429;31.05.2024;"Оплата Учебно-оздоровительный центр Тау-Жанашар ТОО за оказание услуг по организации отдыха сельских детей в летнем
лагере, Договор №11-02-6-116 от 29.05.2024г.";9 450 000;
430;31.05.2024;"Оплата Учебно-оздоровительный центр Тау-Жанашар ТОО за
оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-02-6-127 от 29.05.2024г.";40 068 000;
431;31.05.2024;"Оплата ИП Нурмуканов К.А. за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-02-6-102 от
29.05.2024г.";40 320 000;
432;31.05.2024;"Оплата BOLASHAQ SARAIY за оказание услуг по организации
отдыха сельских детей в летнем лагере, Договор №11-02-6-103 от 29.05.2024г.";46 460 000;
433;31.05.2024;"Оплата ТОО ""ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС
""BAQSY"" за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-02-6-109 от 29.05.2024г.";46 252 800;
434;31.05.2024;"Оплата ТОО ""ДОЦ ФЛАМИНГО"" за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-
02-6-119 от 29.05.2024г.";57 000 000;
435;31.05.2024;"Оплата ТОО ""ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС
""BAQSY"" за оказание услуг по организации отдыха сельских детей в летнем лагере, Договор №11-02-6-115 от 29.05.2024г.";33 000 000;
436;03.06.2024;"ТОО""APEX CО"" Предоплата 50% по сч №1577 от 23.05.24г. по Договору №09-02-3-197  от 19.04.24г. проект ""QH Развитие
комбустиологической службы в Карагандинской области""";33 969 870;
437;03.06.2024;"ТОО""APEX CО"" Предоплата 50% по сч №1581  от 23.05.24г. по
Договору №09-02-3-198  от 19.04.24г. проект ""QH Развитие комбустиологической службы в Карагандинской области""";33 969 870;
438;04.06.2024;"ТОО ""ЭКСКЛЮЗИВСТРОЙ""  Оплата  по факту СМР  Договор
№11-02-6-109  от 23.08.23г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (для КГУ Житикаринская РЮСШ УФКиС акимата Костанайской области)";44 054 878;
439;04.06.2024;"ТОО ""Medicare International"" Окончательная оплата 50% за
изготовление протеза руки  для ID 44975";4 000 000;
440;04.06.2024;"ТОО ""Medicare International"" Предоплата 50% за изготовление
протеза  бедра, для заявителя ID 45907";2 750 000;
441;04.06.2024;"ТОО ""ЭКСКЛЮЗИВСТРОЙ"" Аванс 20%  договор  №11-02-6-20
от 23.02.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (КГУ «Детско-юношеская спортивная школа Жарминского района» управления физической культуры и спорта
области Абай";33 976 180;
442;04.06.2024;"ИП DevelopKZ За услуги тренера договор   №11-02-6-31  от
29.02.24г..за май  2024";300 000;
443;04.06.2024;"ИП Алпысбаев За услуги тренера договор  №11-02-6-37  от
29.02.24г..за май  2024 года";300 000;
444;04.06.2024;"ИП Майкаранов БМ За услуги тренера договор  №11-02-6-33  от
29.02.24г.за май  2024 года";300 000;
445;04.06.2024;"ИП Утегенов За услуги тренера договор  №11-02-6-34  от
29.02.24г.за май  2024 года";300 000;
446;04.06.2024;"ИП Салетаев услуги тренера договор  №11-02-6-39  от 29.02.24г.за
май  2024 года";300 000;
447;04.06.2024;"ИП Капас услуги тренера договор  №11-02-6-25  от 29.02.24г.за
май  2024 года";300 000;
448;04.06.2024;"ИП Aibolsyn услуги тренера договор  №11-02-6-23  от 29.02.24г.за
май  2024 года";300 000;
449;04.06.2024;"ИП ""ДОС"" услуги тренера договор  №11-02-6-21  от 29.02.24г. за
май  2024 года";300 000;
450;04.06.2024;"ИП Кондратенко услуги тренера договор  №11-02-6-38  от
29.02.24г.за май  2024 года";300 000;
451;04.06.2024;"ИП ПРНАЗАРОВ услуги тренера договор  №11-02-6-30  от
29.02.24г.за май  2024 года";300 000;
452;04.06.2024;"ИП MG За услуги тренера договор  №11-02-6-26  от 29.02.24г.за
май  2024 года";300 000;
453;04.06.2024;"ИП КУБАЕВА АЛИЯ КУБАЕВНА За услуги тренера договор
№11-02-6-22  от 29.02.24г  за май  2024 года";300 000;
454;04.06.2024;"ИП Зейнолла За услуги тренера договор  №11-02-6-24 от
29.02.2024г./ проекта ""QH Тұсау кесер";300 000;
455;04.06.2024;"ИП Мамырбеков За услуги тренера договор  №11-02-6-29 от
29.02.2024г./ проекта ""QH Тұсау кесер";300 000;
456;04.06.2024;"ИП Кардоватов  За услуги тренера договор  №11-02-6-28  от
29.02.24г. / проекта ""QH Тұсау кесер";300 000;
457;04.06.2024;"ИП Третьякова-Яковенко За услуги тренера договор  №11-02-6-27
от 29.02.24г./ проект ""QH Тұсау кесер";300 000;
458;04.06.2024;"ИП Усенов За услуги тренера договор  №11-02-6-32  от 29.02.24г. /
проект ""QH Тұсау кесер";300 000;
459;04.06.2024;"ИП Нуралиев  За услуги тренера договор  №11-02-6-35  от
29.02.24г. / проект ""QH Тұсау кесер";300 000;
460;04.06.2024;"ИП Керимбеков За услуги тренера договор  №11-02-6-68 от
30.04.2024г./ проект ""QH Тұсау кесер";300 000;
461;04.06.2024;"ТОО «ГЛОБАЛ ЭЙР» - «GLOBAL AIR» ОнкоПлан Оплата за авиабилеты для 4-х спец. медиков проект  «QH Обучение
специалистов онкологический службы КазНИИОиР»";2 189 020;
462;04.06.2024;"ИП Фербер В.В. Окончательная оплата по сч №23  от 30.05.24г. по  Договору  №РЦ/2023-2-5 от 12.01.24г (для КГП Областная детская клиническая больница УЗ Кар.обл.)  проект QH  ""Оңалту
орталықтары""";489 250;
463;04.06.2024;"ИП Бисекенов (Бисекенов Айгали Агарысулы) Окончат оплата
70% по сч №27 от 30.05.24г. проект ""QH Оңалту орталықтары""  по Договору  №РЦ/2023-7-6  от 11.01.24г.";3 290 000;
464;05.06.2024;"ТOO ""Биком.кз"" за поставку спортивного товара. договор  №11-02 6-19 от 23.02.24г.(г.Алматы) проект ""QH 76 детских спортивных
залов""";4 940 000;
465;05.06.2024;"АИР Строй Монтаж ТОО аванс 20%  договор  №11-02-6-147  от
04.06.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (село Аккыр, Кызылординская обл)";34 500 000;
466;05.06.2024;"ИП ""НАДЕЖДА"" Оплата 100% договор  №09-02-3-238 от 04.06.2024г .(Адресная помощь для  Куанышеву Дулату Айткеновичу, 03.10.1970 гр.Акм.обл.г.Щучинск, ул.Ботаническая 8/32), /(Прикроватный Кислородный концентратор Longfian Jay10
-1шт.)";560 000;
467;05.06.2024;"Campit KZ ТОО 80% по договор № 11-02-6-121 от 29.05.2024
Актюбинск обл  - Лагерь 2024";25 976 000;
468;05.06.2024;"ТОО ""ФОНД ЗДОРОВОГО ПОКОЛЕНИЯ"" 80% по договор № 11-
02-6-114  от  29.05.2024   Актюбинск обл  - Лагерь 2024";29 108 000;
469;05.06.2024;"ТІЛЕБАЙ-БАБА ТОО 80% по договор № 11-02-6-113  от
29.05.2024  Жамбылская  обл  - Лагерь 2024";32 960 000;
470;05.06.2024;"ИП ""Парус"" (Султанова Арман Олжабековна) 80% по договор №
11-02-6-105  от  29.05.2024   Сев-Каз обл  - Лагерь 2024";23 920 000;
471;05.06.2024;"АИР Строй Монтаж ТОО аванса 20%  договор  №11-02-6-146 от
04.06.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (село Досбол Датка, Кызылординская обл)";34 500 000;
472;05.06.2024;"ТОО ""Med Progress Pharm"" Предоплата 50%  по Сч №85  от 28.05.24г. договор №09-02-3-232 от 28.05.24г. КГП Семейский центр оказания спец.соц.услуг №2 УЗК области Абай, (Оборудование: Аппарат для механотерапии ""Орторент"" модель
МОТО, проект  ""QH Шапағат Семей""";4 700 000;
473;05.06.2024;"Строительный контроль ТОО аванс 50% за ТЕХ, НАДЗОР договор
№11-02-6-148 от 04.06.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (село Досбол Датка, Кызылординская обл)";1 250 000;
474;05.06.2024;"ARCOM Eng ТОО 50% за ТЕХ, НАДЗОР договор  №11-02-6-149
от 04.06.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (село Аккыр, Кызылординская обл)";1 250 000;
475;06.06.2024;"ТОО ""GALAXY INTERNATIONAL (ГАЛАКСИ
ИНТЕРНЭШНЛ)"" Окончательная оплата 50%   по  Договорам
№09-02-3-166,  №09-02-3-175 от 05.04.24г. Сч 178, 187  от  04-
5.06.24г на поставку лекарственного средства Трилекса (Элексакафтор/ Тезакафтор/ Ивакафтор) таб.№90";113 993 584;
476;06.06.2024;"ТОО ""Мирас Group"" Оплата (2 этап СКО Каспи) по факту выполненных работ  по  Договору  №11-02-6-96 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера
(СКО, г.Петропавловск, мкр.Солнечный-2)";116 953 816;
477;06.06.2024;"ТОО ""A.D.A.Group"" Оплата (2 этап СКО Каспи ) по факту выполненных работ  по  Договору № 11-02-6-97 от 21.05.2024  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера
(СКО, г.Петропавловск, мкр.Солнечный-2)";16 079 787;
478;06.06.2024;"ТОО ""NQDC"" (North Qazaqstan Development Company) Оплата (2 этап СКО Каспи) по факту выполненных работ  по  Договору  №11 02-6-98 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";43 063 658;
479;07.06.2024;"ТОО ""КФК ""Медсервис Плюс"" ОнкоПлан - 3  Оплата  по Договору №09-03-121  от 05.10.2023  по приобретению и хранению  лекарственного средства Лонсурф
(Трифлуридин+Типирациал)";19 730 900;
480;07.06.2024;"ТОО ""МебельBro""  Договор  № РЦ-Р/2023-2-2  от 08.04.24г.( для
КГПнаПХВ Кегенская РБ ГУ УЗ Алмат.обл) проект QH Аудандык оналту орталыктары.";6 209 140;
481;07.06.2024;"ТОО ""Royal Engineering Kazakhstan"" Оплата 100 %  по счету
№0000007  от 02.06.24г. по  Договору №РЦ/2023-9-1 от 26.03.24г.( для КГПна ПХВ Областной РЦ УЗ Павл обл,)  проект QH Оналту орталыктары. (Установка сенсорной и интерактивной комнаты)";3 360 000;
482;07.06.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"" Возмещение за расходов по транспортировки груза по Казахстану ( реаб. оборудования ООО ВИТ,Астана-Шымкент,  Астана-Караганда)согласно Договора
№09-02-3-9 от 05.04.2023г. Заявка 22/РЦ от 05.06.24г «QH Оңалту
орталыктары»";28 100;
483;07.06.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"" Возмещение  расходов за транспортировку груза по РК (Обрудование ООО ВИТ, OM Interactive Ltd) согласно Договорa №09-02-3-376 от 06.11.2023г. Заявка №9/Р-РЦ от 05.06.24г.  проект «QH Аудандык оңалту
орталығы»";731 700;
484;07.06.2024;"ТОО ""ОАД-27"" Предоплата 100%  (1 части) за лекарственный препарат Эврисди (Рисдиплам) по счет  №80 от 03.06.2024г
Договор №09-02-3-234  от 30,05.2024г. Алматы (450 флаконов)";1 698 423 840;
485;07.06.2024;"ТОО ""Зерттеу СК"" Оплата (2 этап СКО Каспи) 8 домов по факту выполненных работ  по  Договору  №11-02-6-89 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков./Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";124 748 867;
486;07.06.2024;"ТОО Основание Оплата (2 этап СКО Каспи) по факту выполненных работ  по  Договору  №11-02-6-88 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера
(СКО, г.Петропавловск, мкр.Солнечный-2)";217 807 429;
487;07.06.2024;ТОО Строительная компания ПИЛОН Оплата (2 этап СКО Каспи) по факту выполненных работ  по  Договору  №11-02-6-91 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2);73 755 359;
488;11.06.2024;"ИП SPORT TIME Предоплата 30%  ""QH 76 детских спортивных залов""  по   Договорам №11-02-6-154,№11-02-6-155,№11-02-6-
156,№11-02-6-157 от 07.06.24г. Караганд, Абай обл.";3 007 920;
489;11.06.2024;"ТОО ""Севгражданстрой"" Оплата по факту выполненных работ  по Договор №11-02-6-143 от 29.05.2024 года за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных ситуатаций природного характера (СКО, г.Петропавловск,
мкр.Солнечный-2)";42 655 208;
490;11.06.2024;"ТОО""SMK construction"" Оплата по факту выполненных работ  по Договор №11-02-6-135 от 29.05.2024 года за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных ситуатаций природного характера (СКО, г.Петропавловск,
мкр.Солнечный-2)";21 075 410;
491;11.06.2024;"ТОО ""Намыс Казына"" Оплата  по факту выполненных работ  по Договор №11-02-6-140 от 29.05.2024 года за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных ситуатаций природного характера (СКО, г.Петропавловск,
мкр.Солнечный-2)";21 075 410;
492;11.06.2024;"ТОО ""Мирас Group"" Оплата по факту выполненных работ  по Договор №11-02-6-133 от 29.05.2024 года за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных ситуатаций природного характера (СКО, г.Петропавловск,
мкр.Солнечный-2)";41 320 370;
493;11.06.2024;"ТОО «Kazakh Kazyna» Оплата по факту выполненных работ  по Договор №11-02-6-138 от 29.05.2024г.(СКО 2)  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Акт выполненных работ №1 от 08.06.2024 года, Счет №5 от 08.06.2024г/Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера
(СКО, г.Петропавловск, мкр.Солнечный-2)";57 310 533;
494;11.06.2024;"ТОО ""Стадия"" Оплата  по факту выполненных работ  по  Договор
№11-02-6-145 от 29.05.2024г.(Технадзор) (СКО 2)  за услугу стр- ва жилых домов гражданам РК пострадавшим от паводков.
/Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО,
г.Петропавловск, мкр.Солнечный-2)";11 200 000;
495;11.06.2024;"ТОО ""ГазТеплоЭлектроМонтаж"" Оплата по факту выполненных работ  по  Договор №11-02-6-137 от 29.05.2024 года за услугу стр- ва жилых домов гражданам РК пострадавшим от паводков.
/Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";21 075 410;
496;11.06.2024;"ТОО ""Севгражданстрой"" Оплата вернули по факту выполненных работ  по  Договор №11-02-6-144 от 29.05.24 г.(Авторский надзор) за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков./Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";5 600 000;
497;11.06.2024;"ТОО ""A.D.A.Group"" Оплата  по факту выполненных работ  по Договор №11-02-6-141 от 29.05.2024г.(СКО 2)  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков.
/Строительство одноэтажных домов для граждан, пострадавших от
чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";21 495 005;
498;11.06.2024;"ТОО ""GALAXY INTERNATIONAL (ГАЛАКСИ
ИНТЕРНЭШНЛ)"" Окончательная оплата 50%  на поставку лекарственного средства Трилекса (Элексакафтор/ Тезакафтор/ Ивакафтор) таб.№90   по  Договорам: №09-02-3-164,№09-02-3-
168, №09-02-3-169  от 05.04.24г.";276 841 349;
499;11.06.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"" Возмещение  расходов за уплату косвенных налогов (Обрудование ООО ПК Лидер)  Заявка
№23/РЦ от 07.06.24г, согласно Договору №09-02-3-9 от
05.04.2023г. проект «QH Оңалту орталыктары»";133 200;
500;11.06.2024;"ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез-КЗ)"" Предоплата 50% договор №09-02-3-239 от 04.06.24г. согл Счетов №44  от 04.06.24г. в рамках программы ""Развитие объектов здравоохранения и социальной поддержки в отдаленном
приграничном Тарбагатайском районе";7 282 565;
501;11.06.2024;"ТОО ""Медицинский Холдинг""Sintez-KZ"" (Синтез-КЗ)"" Окончательная оплата 70% по сч №45   от 05.06.24г. по  Договору
№РЦ/2023-1-3 от 11.01.24г. /проект ""QH Оңалту орталықтары"" /1- Комплект ERGO для восстановления навыков мелкой моторики/(для КГПна ПХВ Соматический санатории Карлыгаш
УЗ Улытау обл.)";770 000;
502;11.06.2024;"ТОО ""МК Интерна"" Окончательная оплата 70% по сч №37  от 05.06.24г. проект ""QH Оңалту орталықтары""  по  Договору
№РЦ/2023-3-3 (Улытау обл), от 11.01.24г.(для КГПна ПХВ
Соматический санатории Карлыгаш УЗ Улытау обл.)";5 019 000;
503;11.06.2024;"Акционерное общество ""Рудныйсоколовстрой"" Аванс 50% Договора  №11-02-6-152 от 04.06.2024г./Строительство одноэтажных домов для граждан, пострадавших от паводков. (Костанайская обл, Джангельдинский район, село Тауыш, 7
домов).";101 500 000;
504;11.06.2024;"""БК-СТРОЙ"" ТОО Аванс 50% договор  №11-02-6-151 от 04.06.2024г./Строительство одноэтажных домов для граждан, пострадавших от паводков. (Костанайская обл, Джангельдинский
район, село Тауыш, 10 домов).";145 000 000;
505;11.06.2024;"ТОО ""MEDICAL CONSULTING GROUP"" 100% Оплата за лечение
пациентов  с заболеваниями органов глаза (пересадка роговицы) Договор №09-02-3-206 от 23.04.2024г./";7 815 936;
506;11.06.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ"" Возмещение  расходов за уплату косвенных налогов (Обрудование ООО ПК Лидер) согласно Договорa №09-02-3-376 от 06.11.2023г. Заявка №10/Р-РЦ от
07.06.24г  проект «QH Аудандык оңалту орталығы»";111 000;
507;11.06.2024;"ТОО ""ROUND KZ"" Предоплата 30%  ""QH 76 детских спортивных залов""  по   Договорам №11-02-6-158 от 07.06.24, №11-02-6-159 от 07.06.24, №11-02-6-160 от 07.06.24,Караганд, Абай обл.";5 710 200;
